0,1,34,3,1,67034028,1
1,0,25,5.314285714,1,68301005,11
0,0,24,0.696666667,1,64300016,18
0,0,27,9.3,0,64347012,22
0,0,48,8,0,64244006,14
1,0,30,7.2,1,66891034,2
1,0,21,2.232,1,67407022,13
0,1,22,6,1,67032012,1
0,0,19,2.05,1,66809043,2
0,0,24,3.75,1,64281031,14
1,1,25,6.4,1,67843020,13
0,0,26,4.32,0,66922062,1
1,1,22,9.3,0,65459029,21
0,0,41,1,1,65882018,23
0,0,23,9.3,0,66086047,9
1,0,29,1.86,0,68304054,11
0,0,27,3.2,1,64431016,15
1,0,49,2.5,1,64263009,3
0,1,26,5.19,0,64373021,20
1,1,24,1.8,0,66922066,1
1,0,29,3.6,0,67803043,13
1,0,45,1.65,0,65461024,21
1,0,29,1.8,0,65179020,6
1,0,30,7.44,0,65179023,6
1,0,35,2.95,1,64300020,18
0,0,17,4.5,0,67407043,13
0,1,27,0.033,1,64281003,14
1,0,19,6,0,65496027,16
1,1,21,0,1,68158065,1
1,0,25,9.3,1,64337022,17
1,0,38,6,1,68097018,1
0,1,26,0.19975,0,67289075,1
1,0,31,4,1,67703035,1
1,0,39,6.5,1,65474004,21
1,0,31,2.5,1,68301002,11
0,0,19,0,1,68097055,1
1,1,24,0.0384,0,65480006,16
1,0,27,1.8,0,68304001,11
0,1,26,9.3,0,65749011,9
1,1,21,3.533333333,1,67579008,13
0,1,32,1.2,1,68097042,1
1,1,27,9,0,68158027,1
1,0,16,2.571428571,1,68405025,13
0,1,36,9,1,66922048,1
1,0,26,1.371428571,1,65042021,8
0,0,28,1.57,1,65240025,15
1,0,37,6.45,0,65293037,4
1,0,29,0.02475,0,65293010,4
1,0,23,1.96,0,65497021,16
0,1,24,3.2,0,67842030,13
0,1,23,1.5,1,65687021,10
1,0,24,3.666666667,1,62617028,15
0,0,29,0.012375,1,65358013,19
0,1,32,3.65,1,67700029,13
0,0,30,9.3,1,68441036,13
1,1,29,7.2,1,68233033,9
1,0,19,1.6,1,68158060,1
0,1,22,9.25,0,64344007,17
1,0,19,6,1,59026006,12
1,1,22,1.44,1,60409036,13
0,1,26,1.066666667,0,65043039,8
1,0,22,2.7,1,67032071,1
1,1,31,6,1,64186037,13
1,1,23,0.077777778,0,65434030,10
0,0,23,0.857142857,0,68301016,11
0,0,24,9.3,1,67289023,1
0,0,18,0.02475,1,64344013,17
0,1,27,7.5,0,64354030,17
