"","DISCIPLINE","DISC_NAME","TOTTTD","AGE","MEAN_AGE","DEPENDS","MALE","MARITAL","CITIZ","MEAN_CITIZ","PHDCY","PHDMONTH","RACE","AMERIND","ASIAN","BLACK","HAWAIIAN","WHITE","HISPANIC","HISPORIG"
"40",1,"Life Sciences    ",5,30.83299,34.62594,0,1,1,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"41",1,"Life Sciences    ",5.2518822724162,NA,34.62594,NA,0,NA,NA,0.62,2004,8,10,2,2,2,2,1,NA,NA
"42",1,"Life Sciences    ",5.2518822724162,NA,34.62594,NA,0,0,NA,0.62,2004,8,8,NA,NA,NA,NA,NA,1,2
"43",1,"Life Sciences    ",6.2518822724162,31.66598,34.62594,0,1,1,1,0.62,2004,8,3,2,1,2,2,2,2,NA
"44",1,"Life Sciences    ",6.2518822724162,28.25188,34.62594,0,1,0,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"45",1,"Life Sciences    ",31.1670088980152,53.41889,34.62594,0,1,0,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"46",1,"Life Sciences    ",6.2518822724162,28.41889,34.62594,0,1,0,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"47",1,"Life Sciences    ",23.2518822724162,46.08487,34.62594,NA,0,NA,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"48",1,"Life Sciences    ",6.2518822724162,28.16701,34.62594,1,1,1,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"49",1,"Life Sciences    ",NA,33.57837,34.62594,0,0,1,0,0.62,2004,8,10,2,2,2,2,1,2,NA
"50",1,"Life Sciences    ",7.2518822724162,29.66598,34.62594,0,1,1,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"51",1,"Life Sciences    ",5.2518822724162,29,34.62594,0,1,0,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"52",1,"Life Sciences    ",NA,33.91513,34.62594,0,0,1,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"53",1,"Life Sciences    ",NA,29.74812,34.62594,0,1,1,0,0.62,2004,8,9,NA,NA,NA,NA,NA,1,3
"54",1,"Life Sciences    ",5.2518822724162,27.4935,34.62594,0,1,1,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"55",1,"Life Sciences    ",9.16700889801518,30.91513,34.62594,0,0,1,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"56",1,"Life Sciences    ",10.0848733744012,31,34.62594,0,1,1,0,0.62,2004,8,10,2,2,2,2,1,2,NA
"57",1,"Life Sciences    ",15.832991101985,35.83299,34.62594,0,0,0,0,0.62,2004,8,3,2,1,2,2,2,2,NA
"58",1,"Life Sciences    ",7.2518822724162,30.4935,34.62594,0,1,0,1,0.62,2004,8,6,2,2,2,2,1,1,1
"59",1,"Life Sciences    ",9,32.4935,34.62594,0,1,0,1,0.62,2004,8,5,2,2,1,2,2,2,NA
"60",1,"Life Sciences    ",6.57837097878178,31.66598,34.62594,0,1,0,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"61",1,"Life Sciences    ",13.6659822039699,36,34.62594,0,0,0,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"62",1,"Life Sciences    ",7.08487337440124,28.16701,34.62594,0,1,0,0,0.62,2004,8,3,2,1,2,2,2,2,NA
"63",1,"Life Sciences    ",10.0848733744012,32.83299,34.62594,1,1,1,0,0.62,2004,8,3,2,1,2,2,2,2,NA
"64",1,"Life Sciences    ",15.6659822039699,39.08487,34.62594,0,0,0,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"65",1,"Life Sciences    ",8,31.33402,34.62594,0,0,0,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"66",1,"Life Sciences    ",9.2518822724162,38,34.62594,6,1,1,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"67",1,"Life Sciences    ",25.1670088980152,48.16701,34.62594,0,1,1,1,0.62,2004,8,10,2,2,2,2,1,2,NA
"68",1,"Life Sciences    ",5.58590006844634,28,34.62594,0,1,1,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"69",1,"Life Sciences    ",8.58590006844634,30.08214,34.62594,0,0,1,0,0.62,2004,12,3,2,1,2,2,2,2,NA
"70",1,"Life Sciences    ",8.58590006844634,31.41889,34.62594,0,1,0,1,0.62,2004,12,11,1,2,2,2,1,2,NA
"71",1,"Life Sciences    ",10,33.08214,34.62594,0,0,0,0,0.62,2004,12,10,2,2,2,2,1,2,NA
"72",1,"Life Sciences    ",6,27.75291,34.62594,0,0,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"73",1,"Life Sciences    ",17.2491444216291,39.66804,34.62594,3,0,1,0,0.62,2004,12,3,2,1,2,2,2,2,NA
"74",1,"Life Sciences    ",21.5859000684463,43.50103,34.62594,0,1,1,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"75",1,"Life Sciences    ",16,39.5859,34.62594,0,1,1,0,0.62,2004,12,10,2,2,2,2,1,NA,NA
"76",1,"Life Sciences    ",8.24914442162913,30.75291,34.62594,0,1,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"77",1,"Life Sciences    ",12.4188911704314,32.08214,34.62594,0,0,1,0,0.62,2004,12,10,2,2,2,2,1,2,NA
"78",1,"Life Sciences    ",8.33401779603014,31.08214,34.62594,0,1,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"79",1,"Life Sciences    ",9.82751540041068,32.33402,34.62594,1,0,1,0,0.62,2004,12,3,2,1,2,2,2,2,NA
"80",1,"Life Sciences    ",5.66803559206028,28.82752,34.62594,0,1,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"81",1,"Life Sciences    ",11.5859000684463,33.82752,34.62594,1,1,1,0,0.62,2004,12,12,NA,NA,NA,NA,NA,2,NA
"82",1,"Life Sciences    ",22.4188911704314,44.66804,34.62594,1,0,0,0,0.62,2004,12,3,2,1,2,2,2,2,NA
"83",1,"Life Sciences    ",7.58590006844634,31,34.62594,0,1,1,0,0.62,2004,12,10,2,2,2,2,1,2,NA
"84",1,"Life Sciences    ",13,35.41889,34.62594,0,0,0,1,0.62,2004,12,12,NA,NA,NA,NA,NA,2,NA
"85",1,"Life Sciences    ",14,41.16701,34.62594,0,0,0,0,0.62,2004,12,9,2,2,2,2,1,1,3
"86",1,"Life Sciences    ",5.58590006844634,28.08214,34.62594,0,0,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"87",1,"Life Sciences    ",7.58590006844634,28.41889,34.62594,0,0,1,1,0.62,2004,12,3,2,1,2,2,2,2,NA
"88",1,"Life Sciences    ",8.50102669404532,32.50103,34.62594,1,1,1,0,0.62,2004,12,10,2,2,2,2,1,2,NA
"89",1,"Life Sciences    ",8.58590006844634,29.08214,34.62594,0,0,1,0,0.62,2004,12,3,2,1,2,2,2,2,NA
"90",1,"Life Sciences    ",NA,38.75291,34.62594,1,0,1,0,0.62,2004,12,10,2,2,2,2,1,2,NA
"91",1,"Life Sciences    ",4.58590006844634,26.5859,34.62594,0,1,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"92",1,"Life Sciences    ",4.58590006844634,26.5859,34.62594,0,1,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"93",1,"Life Sciences    ",13.8275154004107,36.82752,34.62594,0,0,0,0,0.62,2004,12,3,2,1,2,2,2,2,NA
"94",1,"Life Sciences    ",NA,26.5859,34.62594,0,0,0,0,0.62,2004,12,10,2,2,2,2,1,2,NA
"95",1,"Life Sciences    ",11.5010266940453,32.75291,34.62594,1,1,1,0,0.62,2004,12,10,2,2,2,2,1,2,NA
"96",1,"Life Sciences    ",19,37.82752,34.62594,1,0,1,0,0.62,2004,12,9,2,2,2,2,1,1,3
"97",1,"Life Sciences    ",11.5859000684463,33.82752,34.62594,0,0,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"98",1,"Life Sciences    ",NA,43.75291,34.62594,0,1,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"99",1,"Life Sciences    ",7.50102669404532,30.16701,34.62594,1,1,1,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"100",1,"Life Sciences    ",NA,31.82752,34.62594,0,0,1,0,0.62,2004,12,3,2,1,2,2,2,2,NA
"101",1,"Life Sciences    ",8.50102669404532,31.08214,34.62594,0,0,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"102",1,"Life Sciences    ",15.2491444216291,37.5859,34.62594,0,0,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"103",1,"Life Sciences    ",6.41889117043138,29.41889,34.62594,0,0,0,0,0.62,2004,12,3,2,1,2,2,2,2,NA
"104",1,"Life Sciences    ",11.3340177960301,32.16701,34.62594,0,0,0,0,0.62,2004,12,10,2,2,2,2,1,2,NA
"105",1,"Life Sciences    ",4.58590006844634,26.16701,34.62594,0,0,0,0,0.62,2004,12,9,2,2,1,2,1,1,3
"106",1,"Life Sciences    ",6.58590006844634,28.66804,34.62594,0,0,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"107",1,"Life Sciences    ",6.58590006844634,29.08214,34.62594,0,1,1,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"108",1,"Life Sciences    ",17,43.75291,34.62594,3,1,1,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"109",1,"Life Sciences    ",7.58590006844634,30.24914,34.62594,0,1,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"110",1,"Life Sciences    ",4.58590006844634,26.24914,34.62594,0,1,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"111",1,"Life Sciences    ",9,30.75291,34.62594,0,1,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"112",1,"Life Sciences    ",9.75290896646152,33.08214,34.62594,1,0,1,0,0.62,2004,12,3,2,1,2,2,2,2,NA
"113",1,"Life Sciences    ",5,26.41889,34.62594,0,0,1,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"114",1,"Life Sciences    ",5.33401779603014,27.82752,34.62594,0,0,1,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"115",1,"Life Sciences    ",4.58590006844634,26.82752,34.62594,0,0,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"116",1,"Life Sciences    ",10.4188911704314,33.82752,34.62594,1,1,1,0,0.62,2004,12,3,2,1,2,2,2,2,NA
"117",1,"Life Sciences    ",12,34.50103,34.62594,0,0,1,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"118",1,"Life Sciences    ",28.6680355920603,50.16701,34.62594,2,0,1,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"119",1,"Life Sciences    ",11.5859000684463,34.66804,34.62594,2,1,1,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"120",1,"Life Sciences    ",25.5859000684463,46.16701,34.62594,0,0,0,1,0.62,2004,12,10,2,2,2,2,1,2,NA
"121",1,"Life Sciences    ",22.5859000684463,62.82752,34.62594,0,0,1,1,0.62,2004,12,10,2,2,2,2,1,2,NA
