AnketNo,Cinsiyet,Sinif,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53
1,E,8,1,4,2,1,1,1,4,4,4,1,1,4,4,1,1,4,4,3,1,1,1,4,1,4,1,4,2,3,4,1,1,1,1,3,4,3,1,1,1,1,4,2,1,4,2,4,1,4,2,1,2,3,2
2,E,8,1,2,4,1,2,2,2,2,2,2,3,4,3,1,2,2,4,4,4,1,1,2,2,4,4,3,2,3,4,3,2,4,3,2,2,4,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2
3,E,8,3,3,4,1,4,1,4,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,1,4,4,3,1,1,4,1,1,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4,4,1,4,2
4,E,8,1,3,2,3,2,2,4,4,3,1,1,4,4,3,2,4,4,4,1,1,1,3,4,3,2,3,2,4,4,4,2,2,1,1,4,4,3,1,4,4,4,1,4,1,1,4,4,4,4,1,1,1,1
5,E,8,2,1,4,1,1,1,2,4,4,2,1,4,2,4,4,4,4,4,2,1,4,4,3,4,2,2,1,4,4,1,2,4,4,3,4,4,3,4,2,4,4,1,4,1,4,2,4,4,4,2,2,4,1
6,E,8,2,4,4,2,3,1,4,3,4,1,1,3,3,2,3,3,2,2,2,1,3,2,1,3,1,3,1,1,2,3,1,4,4,2,3,2,1,2,1,4,4,1,2,3,1,4,3,4,3,1,1,2,2
7,E,8,4,4,4,4,4,4,4,4,4,4,1,1,4,1,4,4,3,2,4,1,3,1,1,4,4,4,4,4,1,4,1,1,4,3,4,2,3,4,4,1,4,1,2,4,4,4,3,4,4,4,1,2,2
8,K,8,2,4,4,3,1,1,4,4,4,3,1,4,3,4,4,4,4,4,3,1,4,4,4,3,4,2,1,2,4,4,1,3,4,2,4,4,4,3,4,3,4,1,4,3,3,4,4,4,4,4,3,4,4
9,K,8,2,4,4,1,3,1,4,4,4,3,1,4,3,4,4,4,4,4,3,1,4,4,4,3,4,2,1,1,4,4,1,3,4,2,2,4,4,3,4,4,4,1,4,3,4,4,4,4,4,4,3,4,4
10,K,8,1,3,4,1,3,2,4,4,2,2,1,3,3,2,2,4,4,4,4,1,4,2,2,3,2,3,4,2,3,1,3,4,4,3,3,2,3,4,4,2,3,1,3,4,4,4,2,4,2,3,2,3,3
12,E,8,2,3,2,3,2,1,3,3,2,3,2,1,3,2,3,4,4,4,3,2,3,2,3,2,3,2,1,4,3,3,3,4,3,2,3,2,4,3,2,3,2,3,2,3,2,4,2,1,4,2,3,2,3
13,E,8,3,1,4,1,3,1,4,3,3,3,2,3,2,1,1,3,3,3,3,1,2,3,4,3,3,3,1,3,3,2,1,3,3,3,3,3,3,3,3,3,2,3,3,2,3,4,4,4,3,2,2,4,2
14,E,8,1,3,2,2,3,2,2,3,2,4,4,3,2,2,4,2,1,4,4,1,2,3,3,2,2,1,2,3,1,3,2,4,2,1,1,3,3,2,3,1,3,4,3,2,2,3,1,2,3,2,3,3,4
15,E,8,3,2,3,2,3,2,3,2,3,3,2,3,4,3,2,4,3,3,4,4,3,4,4,4,3,3,2,2,3,3,4,4,4,4,4,3,2,2,3,3,2,4,3,3,3,2,2,3,3,2,2,3,4
17,E,8,1,4,4,1,4,1,4,1,4,1,1,4,4,3,4,4,4,4,4,3,4,4,1,4,4,3,1,1,4,4,3,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,3,4,4,4,1,4,4
19,E,8,1,4,4,2,4,1,4,4,4,1,1,3,4,4,4,4,4,4,3,4,4,4,1,4,3,4,4,1,4,4,4,4,4,3,4,4,2,3,4,4,4,3,4,4,4,4,4,4,3,4,1,4,4
20,E,8,2,2,2,1,2,1,4,4,3,4,1,4,2,1,3,4,4,4,4,1,2,4,1,4,2,2,2,3,2,3,2,3,4,4,4,4,4,4,4,3,2,3,1,2,2,3,4,2,3,2,4,4,4
21,E,8,1,4,4,1,4,4,1,1,4,3,3,1,1,4,4,4,4,3,1,4,2,4,2,4,1,4,4,4,3,3,2,3,2,4,4,4,3,3,1,2,4,4,4,4,4,4,3,3,4,4,1,3,4
22,E,8,2,4,4,1,4,1,4,4,2,4,1,4,4,2,3,4,4,4,4,4,3,3,4,3,4,4,3,1,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,4,3,4,4
23,K,8,1,4,3,1,3,1,2,4,4,1,3,4,4,3,2,4,1,4,4,1,4,1,3,4,2,4,4,4,2,3,1,2,4,3,4,1,2,4,4,4,1,1,1,2,1,4,2,4,2,1,1,1,1
24,K,8,4,4,3,1,4,3,4,4,4,1,1,3,4,4,4,4,3,4,4,3,4,4,1,4,4,4,1,4,4,4,4,4,3,4,4,1,4,3,2,3,4,4,4,4,4,4,4,1,4,1,1,4,1
25,E,8,1,4,1,1,4,1,4,3,2,4,2,1,3,3,1,2,4,3,1,2,4,2,4,4,3,4,1,2,4,3,4,4,3,2,1,3,1,3,4,3,2,4,1,1,2,4,2,1,2,3,2,1,4
26,K,8,3,1,4,1,3,1,4,4,4,4,4,2,4,4,2,4,4,4,4,1,4,4,1,4,4,3,1,4,4,4,1,4,4,4,4,4,4,4,1,1,1,4,4,1,4,4,4,4,4,4,1,4,2
27,E,8,2,2,2,3,1,1,2,2,3,1,3,3,2,1,2,2,3,4,3,3,2,2,2,2,2,2,1,1,1,1,3,2,2,3,4,3,2,3,1,2,1,2,3,4,3,2,1,1,1,2,3,4,3
28,E,8,1,1,1,2,4,1,4,4,1,4,1,4,1,4,4,2,4,4,4,4,1,4,4,4,4,1,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4
29,E,8,3,3,2,4,1,2,2,2,4,2,1,2,4,1,2,1,4,4,4,1,1,3,4,2,4,4,2,3,4,1,2,4,1,1,2,3,2,3,4,2,2,1,4,1,1,3,2,1,4,3,2,2,4
30,E,8,2,3,4,1,4,2,3,2,4,2,2,4,2,2,4,2,2,3,2,3,3,2,2,2,2,3,1,3,3,3,3,3,4,1,4,2,3,1,3,4,1,1,2,1,1,4,2,2,3,3,3,2,2
31,K,7,4,2,4,1,3,3,4,4,3,4,1,4,4,2,3,4,4,4,4,2,4,4,1,4,4,4,3,4,4,3,2,3,4,4,3,4,4,3,4,3,4,4,4,4,4,4,3,4,4,4,3,4,4
33,K,7,3,1,4,1,4,1,4,3,4,1,2,4,4,3,2,3,2,4,4,4,1,4,1,4,4,4,2,3,3,4,3,3,1,4,4,4,3,2,4,4,2,3,1,4,4,3,3,2,1,3,3,4,4
34,K,7,1,1,1,1,4,4,1,4,4,1,3,2,2,2,2,4,4,4,2,2,2,2,4,3,1,1,1,4,4,4,2,2,3,2,1,4,3,3,2,4,3,1,4,3,2,1,2,3,4,3,2,1,1
35,K,7,3,4,4,1,3,1,3,3,2,4,4,2,4,2,3,4,4,4,4,4,4,4,2,4,3,4,4,3,4,4,2,4,4,3,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,1,3,3
36,K,7,2,3,4,1,3,1,3,2,2,3,4,4,3,3,2,4,4,4,4,3,2,4,4,3,4,3,3,1,4,3,1,3,4,2,4,4,4,2,3,2,4,2,4,3,2,3,2,2,4,4,2,3,4
37,K,7,2,2,4,1,4,1,4,2,2,3,1,4,4,4,4,4,4,4,4,2,2,4,1,4,4,4,1,1,4,4,2,4,4,4,4,4,4,1,1,4,4,2,4,4,2,2,4,4,4,4,1,4,4
38,E,7,2,4,4,1,3,1,4,4,4,3,4,4,4,4,3,4,4,4,4,4,3,4,1,3,3,4,4,4,4,4,3,4,2,3,4,4,3,4,4,4,4,4,3,4,4,2,3,3,4,3,1,4,4
40,E,7,4,4,4,1,4,1,4,4,4,4,3,2,4,4,4,4,4,4,2,2,3,4,4,4,2,4,3,1,4,4,3,4,4,2,4,4,3,3,4,2,4,4,4,2,2,4,4,2,4,4,3,4,4
41,K,7,3,3,4,3,4,3,4,4,4,2,3,1,4,3,3,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,4,3,4,2,4,4,3,4,4,4,3,4,4,4,3,4,2,4,4,2,4,2
42,K,7,2,3,4,1,3,1,3,4,4,3,3,4,4,2,3,4,4,4,3,4,4,4,1,3,4,4,1,1,4,3,3,4,3,4,4,4,3,4,1,4,3,4,4,3,3,3,4,3,4,4,1,4,4
43,K,7,2,2,4,1,3,2,4,4,3,2,1,4,2,3,4,4,4,4,4,2,4,3,4,4,4,3,4,3,4,4,3,2,2,3,2,4,4,1,2,4,2,4,4,4,2,2,1,1,4,4,4,4,4
44,K,7,3,1,3,4,4,2,4,4,3,2,1,4,4,3,3,4,3,2,4,1,3,2,4,3,4,3,2,4,4,4,3,4,4,2,4,2,4,2,3,2,4,4,4,1,2,3,4,4,4,4,3,2,4
45,K,7,1,2,2,1,4,2,4,4,4,4,2,4,4,2,2,4,4,2,4,3,4,4,2,4,4,3,3,4,4,4,3,3,4,4,4,4,3,2,2,4,2,3,3,4,4,4,3,4,4,3,3,4,4
46,K,7,4,2,4,1,4,1,3,4,2,1,1,1,4,2,3,4,4,4,4,2,2,4,4,4,4,4,4,4,4,1,1,4,4,1,4,4,1,1,3,4,2,2,2,1,4,2,1,4,4,4,2,4,4
47,K,7,4,4,4,1,4,1,3,4,4,1,3,3,4,4,4,4,4,4,4,4,4,2,1,4,4,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,3,4
51,K,7,3,3,4,4,3,3,4,4,3,3,3,4,4,1,3,4,4,4,4,4,4,4,4,4,3,2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,2,2,4,4,4,4,4,4,2,3
52,K,7,4,4,4,1,4,1,4,2,4,2,3,4,4,3,4,4,4,4,4,2,2,4,3,4,4,4,3,1,4,4,2,4,4,2,4,4,3,4,4,2,4,1,4,4,4,4,4,4,2,2,3,4,4
54,E,7,3,3,4,1,3,1,4,4,4,1,3,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,3,3,2,4,4,4,4,3,3,4,4,4,4,4,3,3,4,3,3,4,4,3,4,4,3
57,E,7,2,4,4,1,4,1,4,4,4,4,1,1,4,4,4,4,4,4,4,1,4,4,1,4,4,4,1,1,4,4,1,4,4,1,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,4,4
58,K,7,2,3,4,1,4,1,4,4,4,4,2,4,4,4,4,4,4,4,4,1,2,4,1,4,4,3,1,2,4,4,4,4,4,2,4,4,4,2,4,4,2,1,4,3,2,2,3,4,4,4,1,4,1
60,E,7,3,2,1,4,3,4,2,1,3,3,3,2,4,1,3,4,3,4,2,2,1,4,2,3,1,3,2,1,4,2,4,3,3,1,3,2,4,3,1,3,4,1,4,3,4,3,4,3,3,4,3,4,3
61,E,7,3,4,4,2,3,1,4,3,4,2,2,4,4,2,4,2,4,4,4,3,2,4,1,4,3,4,2,4,4,1,3,3,4,1,4,4,4,2,4,3,3,4,3,4,3,4,4,3,4,3,4,4,3
62,K,7,3,3,4,1,4,1,3,4,4,4,1,4,4,4,4,4,4,4,3,4,3,4,1,4,2,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,3,4,4,3,3,4,3,4
63,E,7,4,3,4,1,3,1,4,4,4,3,1,4,4,4,4,4,4,4,3,1,3,4,4,3,3,4,1,4,4,4,3,4,4,2,4,4,4,2,4,2,4,2,4,4,1,4,4,4,4,3,1,4,4
64,E,7,4,4,4,1,4,3,3,2,3,3,4,4,4,4,3,3,2,2,3,3,2,4,2,4,4,4,4,4,3,2,3,2,2,1,3,3,3,4,4,4,4,4,3,3,2,2,2,4,4,4,4,4,3
65,K,7,1,2,4,2,1,2,3,1,3,4,3,2,3,1,1,1,2,3,4,2,4,2,4,4,1,3,1,4,4,2,3,1,1,1,4,4,1,3,2,4,3,2,1,1,3,1,3,1,3,3,1,4,3
66,K,7,2,3,4,4,1,2,4,4,4,1,3,4,4,3,1,3,4,4,4,1,2,4,4,4,2,4,1,4,4,4,3,1,4,4,4,4,1,1,3,1,4,1,4,3,4,4,4,4,4,4,1,3,1
67,E,7,3,1,3,1,4,3,3,3,4,4,1,1,1,2,3,3,2,1,4,4,1,2,1,4,4,3,2,4,2,1,3,4,2,3,1,3,4,4,4,4,1,3,3,2,3,4,2,2,1,1,1,2,1
68,E,7,1,2,3,1,1,1,2,3,2,4,1,2,2,1,2,2,3,2,4,2,2,3,2,1,4,2,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,2,4,2,3,1,1,1,1,2,2,2,1
69,K,7,1,1,3,1,2,1,3,3,3,2,1,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,2,4,3,4,3,4,2,2,4,3,4,4,3,4,4,4,3,4,4
70,K,7,1,4,4,1,4,4,4,4,4,3,2,4,4,4,4,2,4,4,4,3,2,4,1,4,3,4,1,1,4,3,3,4,4,3,4,4,4,4,4,3,3,3,4,4,4,3,4,4,4,4,1,4,4
71,K,7,1,4,4,1,4,1,4,1,2,1,1,4,4,2,1,4,4,4,4,1,1,4,1,4,4,4,1,2,4,1,1,2,4,4,4,2,1,2,4,4,4,4,1,4,4,4,4,4,1,4,1,4,4
72,E,7,1,4,3,1,2,2,4,2,2,3,1,4,2,4,4,2,4,4,2,3,2,2,4,3,4,3,3,4,4,4,1,3,4,4,4,3,4,4,3,4,4,3,4,2,2,3,2,4,2,1,3,4,4
73,K,7,2,1,4,4,2,1,4,3,2,1,1,4,1,3,3,4,4,4,3,1,1,4,4,4,4,3,4,1,4,1,2,4,3,3,4,4,4,3,2,4,1,1,4,3,2,1,1,2,1,3,4,3,2
74,E,7,3,1,2,1,3,2,1,2,1,3,4,1,2,3,1,1,2,2,1,3,4,1,3,2,2,1,2,1,3,1,3,2,3,1,3,2,3,1,3,2,1,3,2,3,1,3,1,3,2,1,3,2,3
75,E,7,3,4,4,1,3,1,4,4,4,3,2,4,4,4,4,4,4,4,4,3,4,4,1,4,4,2,1,1,4,2,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,1,4,3
78,K,7,1,1,3,1,1,1,4,4,4,4,1,4,4,4,4,2,4,4,4,4,4,4,1,4,4,1,4,4,4,4,2,1,4,4,4,4,1,4,1,4,4,4,4,1,1,4,4,4,4,4,1,4,1
79,E,7,1,1,4,1,4,1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,1,4,4,4,1,2,4,4,4,4,1,1,3,1,1,1,3,3,3,4,4,1,3,2,2,2,1,1,1,1,1,1,1
80,K,7,4,1,4,1,4,1,4,4,2,1,1,4,4,1,2,4,4,4,4,4,4,4,4,4,2,3,1,4,4,1,3,4,4,4,4,4,4,4,4,3,1,1,4,4,4,2,1,4,4,4,1,4,4
81,K,7,2,4,4,1,4,1,4,4,2,3,2,4,4,2,1,4,4,4,4,1,4,4,2,4,4,4,3,1,4,4,4,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,4,4,4,1,4,4
82,E,7,2,4,4,2,4,1,4,4,4,4,4,4,4,4,4,4,3,4,3,3,2,4,1,3,4,4,1,1,4,3,2,4,4,2,4,4,4,4,4,4,4,2,4,4,4,4,4,1,2,4,1,4,4
83,E,7,2,1,2,1,3,1,3,4,3,3,1,4,3,3,1,4,4,4,4,3,3,4,2,3,4,3,1,3,4,3,4,4,4,3,4,4,4,3,4,4,3,4,3,2,4,4,4,4,4,3,2,4,4
85,E,7,3,4,3,2,2,3,4,4,3,1,2,4,3,2,3,2,3,1,3,2,4,1,2,3,4,2,1,3,3,1,4,2,1,3,2,3,4,3,1,3,2,4,4,1,4,1,2,1,3,4,2,1,3
86,E,7,4,1,3,1,2,3,4,4,4,2,2,1,3,3,2,4,3,2,3,2,4,1,3,2,2,3,4,3,2,1,4,2,2,3,2,4,1,3,2,4,1,2,3,4,1,4,1,3,2,2,4,3,4
87,E,7,3,4,4,2,4,2,2,4,3,3,2,4,3,4,3,3,4,4,4,4,3,2,3,4,2,3,2,2,4,4,4,4,2,3,3,3,3,4,4,4,3,4,3,4,1,1,2,3,4,1,2,3,4
89,E,7,4,2,4,1,4,1,4,4,4,4,1,2,4,1,4,4,4,4,4,4,4,4,3,4,4,4,3,1,4,4,4,4,4,4,4,4,3,2,3,3,2,3,2,3,2,3,4,4,4,4,4,4,4
91,E,7,2,4,4,4,4,1,4,2,4,4,1,4,2,4,2,4,4,4,4,1,4,4,1,4,2,4,1,1,4,4,1,4,4,2,4,2,4,4,2,4,4,3,4,4,4,4,4,4,4,4,1,4,4
92,E,7,1,3,2,4,3,2,4,3,2,2,1,4,3,2,3,4,1,2,3,1,3,1,4,4,2,1,4,3,4,1,1,1,4,4,3,2,1,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4
93,E,7,1,1,4,4,1,4,1,1,4,1,1,4,2,3,4,4,4,4,4,1,3,1,3,4,2,1,2,1,4,4,3,2,1,2,3,4,2,1,2,2,1,4,4,3,2,2,2,1,1,3,2,1,4
95,K,7,2,3,4,1,3,1,1,4,4,4,1,1,4,3,4,4,4,4,4,3,4,3,4,2,4,3,4,4,3,1,2,3,4,3,4,4,3,1,1,4,4,1,3,3,4,4,4,3,4,2,1,1,2
96,E,7,2,1,1,1,1,4,4,4,2,1,1,4,1,1,2,4,4,4,2,1,1,2,4,2,4,2,1,1,2,2,2,1,4,1,2,3,4,2,3,2,2,4,2,3,1,1,1,3,2,4,1,3,2
97,E,7,3,1,2,4,2,3,1,3,1,3,2,3,2,3,2,3,2,4,4,3,3,2,4,3,2,1,3,1,3,4,2,2,1,3,3,2,2,4,2,3,1,3,1,3,1,2,3,4,1,3,2,4,1
98,E,7,4,3,1,3,2,1,3,2,1,2,4,1,2,3,1,3,2,1,4,2,1,3,3,1,1,2,1,2,4,2,2,4,2,1,3,2,1,2,3,1,4,2,1,3,2,4,3,2,1,2,2,3,2
99,E,7,2,3,1,3,4,1,3,1,1,4,3,3,2,2,4,3,1,2,3,4,2,4,4,1,1,2,2,1,3,3,2,2,1,4,3,4,4,3,1,3,2,1,2,1,3,2,4,4,1,2,3,2,1
100,E,8,3,4,4,3,3,4,4,2,3,1,2,3,3,2,3,3,3,3,4,2,1,3,3,2,3,3,2,2,3,3,3,3,3,1,3,3,4,3,3,3,3,3,3,2,3,2,2,4,2,3,3,3,3
101,E,8,1,2,4,2,1,1,2,4,2,2,1,4,2,1,2,4,4,2,4,1,1,2,4,4,2,2,4,4,4,1,2,1,1,1,4,2,4,1,4,4,4,1,2,4,4,1,2,4,4,4,4,2,3
102,E,8,1,1,2,3,1,2,1,4,2,1,3,4,2,4,3,1,4,4,4,4,4,4,4,4,4,3,3,3,4,4,2,3,4,4,4,4,3,4,2,1,4,4,4,4,4,1,4,4,4,4,4,2,4
103,E,8,2,4,3,3,4,4,3,4,4,2,3,3,4,3,4,2,3,4,1,1,1,4,4,2,3,2,3,2,4,1,4,3,2,4,4,4,3,1,3,4,1,3,4,4,1,1,4,4,4,3,1,4,2
104,K,8,4,4,2,1,2,4,3,4,4,3,1,1,2,4,3,4,1,1,2,3,4,3,1,4,4,4,1,1,4,4,1,3,4,3,4,1,1,4,1,1,4,1,1,4,1,4,4,4,1,1,1,1,2
105,K,8,2,1,2,1,2,1,4,4,2,1,1,4,4,2,2,4,4,4,2,2,2,2,2,4,2,1,3,2,4,1,1,2,2,2,4,4,2,4,2,2,1,2,2,3,2,1,2,4,4,4,1,2,1
106,E,8,1,2,2,1,4,4,3,4,4,3,3,4,3,2,2,2,4,4,4,2,3,4,2,4,4,3,3,2,4,4,3,3,4,4,3,4,3,4,4,2,3,1,4,3,3,4,4,2,3,4,3,4,4
107,K,8,1,1,1,1,2,2,4,3,2,2,3,2,2,3,2,2,4,4,4,1,2,4,2,4,2,2,3,2,4,2,3,3,4,2,4,4,4,4,4,3,4,4,4,3,4,2,2,4,4,4,1,4,2
108,E,8,2,4,4,1,3,3,4,4,4,1,1,4,4,3,3,4,4,4,4,4,1,4,2,4,4,4,4,1,4,4,3,2,3,4,4,4,3,3,4,4,1,4,4,3,1,1,4,4,4,4,3,4,4
109,K,8,3,1,2,1,2,1,2,2,4,3,2,4,2,2,3,2,4,4,4,4,2,4,2,4,2,2,1,2,4,4,4,2,4,4,4,4,2,4,2,4,4,4,2,2,2,2,2,2,2,2,1,4,4
110,K,8,1,2,4,1,2,1,4,3,4,2,1,4,3,3,1,4,4,3,3,1,4,4,2,4,3,3,2,1,4,4,1,3,4,4,4,3,1,2,1,1,4,1,1,2,2,3,1,4,4,3,1,4,3
111,E,8,1,1,1,1,2,1,4,4,2,2,1,4,4,1,4,4,4,4,4,3,3,4,4,4,4,3,1,1,2,1,2,2,4,2,3,4,3,4,4,1,1,3,4,2,1,1,1,3,2,3,1,2,1
112,E,8,1,2,4,3,4,1,4,3,2,3,1,4,3,1,1,3,4,3,4,1,1,1,3,4,1,2,2,3,3,3,1,1,4,1,3,2,3,4,3,4,4,3,3,2,1,2,1,3,2,1,2,2,2
113,K,8,1,3,2,1,2,1,2,4,2,4,1,4,2,3,3,4,2,4,4,2,2,4,2,4,4,3,1,4,4,2,2,2,4,2,4,4,4,4,2,2,4,4,4,3,3,2,2,4,4,2,1,4,2
114,E,8,2,3,4,1,3,1,3,2,3,2,2,3,4,2,2,3,3,4,4,2,2,3,2,3,4,3,2,4,4,3,3,2,2,2,3,4,3,4,3,3,2,2,3,3,2,4,4,3,2,3,1,4,4
115,K,8,2,4,4,1,4,2,4,4,2,2,1,4,4,2,4,4,4,4,4,2,4,4,1,4,4,4,1,4,4,3,1,3,4,4,2,4,4,2,4,2,4,2,4,4,2,2,2,4,1,4,1,4,4
116,K,8,1,2,2,1,2,1,2,4,4,2,1,4,4,2,3,4,4,4,4,4,4,2,3,3,4,4,3,4,4,2,4,4,4,2,2,3,1,4,2,4,4,4,2,3,4,2,2,4,3,1,1,3,2
117,E,8,1,1,4,1,4,4,4,4,4,1,4,4,4,4,4,4,4,3,4,4,1,4,4,4,4,4,4,1,4,1,3,2,4,4,1,4,4,4,4,4,4,4,4,4,1,2,2,4,2,4,1,4,4
118,K,8,3,3,4,1,4,2,4,3,2,4,2,4,3,3,4,3,4,4,4,3,4,4,4,4,4,2,4,1,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,2,1,4,3,4,4,4,3,4,4
119,E,8,1,2,2,1,3,2,3,3,2,1,1,2,4,2,2,4,2,2,4,2,1,2,2,4,4,4,1,2,4,3,1,1,2,1,4,1,3,4,3,4,2,2,4,2,1,3,1,2,1,1,2,2,3
120,E,8,1,1,2,3,4,1,2,1,3,4,1,2,1,3,4,1,4,1,2,1,2,4,1,4,4,1,2,1,1,2,3,3,1,4,3,4,4,4,4,4,4,4,1,2,3,2,4,4,3,2,1,2,2
121,E,8,2,4,4,2,4,1,4,4,2,4,1,4,4,2,2,4,1,4,4,1,1,4,3,4,4,3,1,4,4,4,1,1,2,3,4,3,2,4,3,2,4,4,4,4,3,2,4,1,4,4,4,4,4
124,E,8,3,2,4,1,4,1,4,2,3,3,4,3,4,1,3,4,3,3,3,4,4,3,4,4,3,3,3,4,4,4,3,4,2,2,3,4,2,2,3,4,4,3,2,2,2,4,4,3,3,3,3,4,4
126,E,8,1,2,2,1,3,4,4,4,3,3,1,2,4,3,2,4,4,4,4,2,4,4,1,4,4,2,3,3,4,4,4,4,2,3,4,4,4,2,4,4,3,4,4,2,3,2,4,4,2,4,2,4,4
127,E,8,4,3,4,4,4,1,4,4,4,4,1,4,4,3,1,3,2,1,2,3,3,2,2,3,2,3,3,4,3,3,4,4,4,3,3,3,4,4,4,4,2,2,2,3,3,3,3,2,3,2,3,2,3
129,E,7,2,4,3,4,4,1,4,4,2,1,1,4,1,2,1,4,1,2,4,1,1,2,4,4,4,1,4,2,4,1,1,4,4,3,3,2,4,4,4,4,1,1,4,1,4,1,4,4,4,1,1,1,1
130,K,7,2,2,4,3,1,1,3,4,4,4,1,1,4,4,4,2,4,4,4,3,2,4,2,4,4,4,1,2,4,4,4,4,4,2,2,4,4,2,1,4,4,2,4,1,4,4,3,3,2,3,2,4,4
131,K,7,1,4,3,1,3,4,4,2,4,4,1,4,3,4,4,4,4,4,4,4,4,4,1,4,4,4,4,1,4,1,4,2,4,3,4,4,1,4,4,4,2,4,4,3,1,4,4,4,4,4,1,4,4
132,E,7,2,1,4,1,2,1,4,2,2,4,2,1,2,3,3,4,4,4,4,1,3,4,3,4,4,3,4,3,4,4,3,4,4,1,4,4,3,4,1,4,4,1,4,1,1,3,3,4,4,4,4,4,3
134,K,7,2,1,4,1,3,1,4,4,4,4,1,2,3,3,3,2,2,4,4,1,3,4,4,4,4,3,1,1,4,1,3,3,4,1,4,4,4,1,1,4,4,1,4,4,1,4,4,4,4,4,4,2,2
135,K,7,2,2,4,1,4,1,4,4,4,4,2,4,4,2,4,4,4,4,4,2,3,4,3,4,4,3,1,2,4,4,4,4,4,3,4,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,3,4,4
136,K,7,4,2,4,1,4,1,4,4,4,2,1,2,4,3,4,4,4,4,4,4,2,4,1,4,4,4,4,4,4,2,4,4,4,1,4,4,3,4,2,4,4,4,4,4,4,4,3,2,4,4,1,4,4
137,E,7,2,3,2,3,3,2,3,2,3,2,3,2,3,2,1,2,3,3,2,3,2,3,2,3,3,2,3,1,2,3,2,1,2,3,3,2,2,2,1,1,2,2,1,2,1,2,1,2,2,1,2,1,4
138,K,7,3,2,3,1,4,1,4,4,3,4,4,4,4,3,3,4,4,4,4,3,4,3,3,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,3,4,3,3,4,3,4,3,4,3,4,4,4,3
139,E,7,2,4,4,1,4,1,4,4,2,2,1,4,4,2,3,4,3,4,3,2,2,3,2,4,4,4,2,4,4,2,1,2,4,2,4,2,3,3,2,4,4,2,2,4,2,4,2,4,2,2,1,4,4
140,E,7,3,2,4,1,4,1,3,4,4,3,3,4,4,4,4,3,4,4,3,2,4,4,2,4,3,4,4,4,4,3,2,4,3,2,4,3,3,4,2,2,3,2,4,3,2,2,2,3,4,4,4,3,3
141,E,7,2,4,4,1,4,1,4,3,3,1,1,4,4,3,4,4,4,4,4,4,2,4,1,4,3,4,1,4,4,1,1,4,4,4,3,1,4,4,4,4,1,1,4,4,4,1,4,4,1,4,1,4,1
142,K,7,2,1,4,1,3,1,4,4,4,4,1,2,3,3,3,2,4,4,4,1,3,4,4,4,4,3,1,1,4,1,3,3,4,1,4,4,4,1,1,4,4,1,4,4,1,4,4,4,4,4,4,2,2
143,K,7,2,1,4,1,4,1,4,4,4,4,2,4,4,3,4,4,4,4,4,2,3,4,4,4,4,3,3,4,2,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,3,4,4
144,K,7,1,2,4,1,4,1,4,4,4,2,1,4,4,1,4,4,4,4,2,3,4,4,3,4,4,1,4,4,4,1,1,1,3,1,4,4,2,1,4,4,4,1,4,4,4,4,1,4,3,1,1,2,4
145,E,7,2,2,4,1,4,1,4,4,4,4,4,4,2,2,4,4,4,4,4,1,1,4,1,4,4,1,1,1,2,1,1,1,4,4,4,1,4,1,1,4,1,1,4,1,1,4,1,1,1,1,1,4,1
146,E,7,1,1,4,4,2,3,2,3,2,3,1,4,2,2,2,2,4,4,3,1,3,4,1,4,1,1,2,4,4,1,1,1,1,2,4,4,1,2,2,3,4,4,4,2,2,1,3,4,3,4,2,3,4
