AnketNo,Cinsiyet,Sinif,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53
1872,K,6,2,1,4,1,3,1,3,4,4,4,3,1,2,3,4,4,4,4,4,1,4,4,1,3,4,4,3,2,4,4,4,4,4,3,4,4,3,4,4,4,1,3,4,2,4,4,4,1,4,4,1,4,4
1873,K,6,2,4,3,1,4,1,2,2,3,2,3,4,2,3,1,4,4,4,2,3,1,1,2,4,4,3,3,2,4,3,1,4,4,2,2,3,1,1,2,4,4,2,2,2,3,2,4,1,3,3,2,2,3
1874,K,6,2,4,4,1,1,1,4,4,4,1,2,4,4,4,2,4,4,4,4,2,2,4,2,4,3,4,1,1,4,1,2,4,1,4,4,4,1,4,4,4,2,2,2,4,4,2,2,1,4,4,1,4,4
1875,K,5,1,1,4,1,1,3,2,1,4,4,1,1,3,1,2,4,4,4,4,1,1,3,4,3,1,2,1,1,3,1,2,4,2,3,1,3,2,2,1,4,1,2,3,2,1,2,3,1,2,1,4,2,4
1876,K,5,3,2,4,2,4,1,4,4,3,4,3,4,4,1,4,4,4,3,4,3,3,2,1,4,2,2,1,1,4,3,2,2,4,2,4,2,4,2,2,4,4,4,2,4,1,4,3,3,2,1,1,4,3
1877,K,5,1,1,4,1,2,2,2,2,3,2,1,1,3,2,2,3,1,4,3,2,1,1,3,2,1,2,4,3,2,1,1,3,2,4,1,2,3,4,2,2,1,2,2,1,2,4,4,3,1,1,1,3,4
1879,K,5,1,2,4,1,4,2,1,4,1,4,2,4,1,4,2,1,4,4,4,1,1,2,1,4,4,4,1,1,4,1,3,2,1,3,3,4,4,4,4,1,2,2,2,1,1,3,3,3,1,2,1,2,4
1880,K,7,2,4,4,1,3,1,4,4,4,3,2,4,3,3,4,4,4,4,4,1,3,4,3,3,3,3,3,3,4,3,3,2,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,3,4,3,4,4
1881,K,7,3,1,3,2,3,1,4,3,2,2,1,2,3,2,2,4,4,4,4,2,4,3,4,3,3,1,2,4,3,3,1,3,4,1,4,3,3,4,4,3,4,2,4,2,1,4,3,2,3,3,3,3,4
1882,K,5,4,1,3,1,4,1,1,4,4,2,3,2,4,1,4,4,4,1,4,4,4,1,1,4,2,1,1,1,4,4,4,4,4,4,1,4,1,2,3,2,1,4,1,2,3,3,2,1,4,3,2,1,4
1884,K,5,2,2,4,1,2,1,3,2,4,2,2,2,2,2,4,2,4,2,2,4,2,4,2,2,4,2,3,3,2,1,1,2,4,2,4,2,2,2,1,4,2,2,4,2,2,4,4,4,2,3,2,4,3
1885,K,6,3,1,4,1,4,1,3,4,4,2,1,1,4,4,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,4,4,4,4,1,4,4,3,4,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4
1886,K,6,3,1,4,1,2,3,4,4,4,2,1,4,3,4,4,3,4,4,3,3,2,4,1,2,4,1,2,4,4,2,1,3,1,4,4,4,3,4,2,4,2,4,4,2,1,4,2,4,4,2,4,4,3
1887,K,7,3,4,3,1,3,1,3,4,3,4,4,1,4,3,3,4,4,4,3,3,4,4,2,4,4,3,1,4,4,4,3,4,4,4,4,4,3,4,4,4,4,1,4,4,4,4,4,4,3,3,1,4,4
1890,K,5,2,1,2,2,3,4,4,2,3,4,1,1,4,3,2,4,3,4,2,1,4,3,3,1,2,3,4,4,4,3,1,4,1,3,4,3,3,4,3,1,3,4,4,2,1,2,4,4,3,2,2,3,2
1891,K,6,2,4,4,2,4,3,3,4,3,4,3,4,4,2,2,4,4,4,2,1,4,4,1,4,2,4,2,1,4,3,2,3,4,2,4,4,4,4,2,2,4,4,4,4,1,4,4,4,4,2,1,4,4
1892,K,5,2,4,4,2,4,2,3,4,4,4,2,4,4,1,3,3,4,4,4,2,1,4,1,4,2,4,3,1,4,4,4,3,4,2,4,4,4,4,4,4,1,4,4,1,1,2,4,4,4,4,1,4,4
1893,K,6,4,1,4,1,2,4,4,4,3,4,4,4,4,3,1,4,4,4,4,4,4,4,1,4,1,4,3,1,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,3,4,4,4,4,3,4,1,4,4
1894,K,6,2,4,3,1,4,1,4,4,2,1,4,4,4,2,3,4,4,4,4,4,4,3,1,4,4,4,1,4,4,4,1,3,4,4,4,2,4,4,1,4,3,2,4,4,1,4,2,4,4,1,1,3,3
1896,K,6,2,2,3,1,4,1,3,4,3,2,2,4,3,2,2,3,3,2,3,2,3,3,2,3,4,2,2,3,4,4,3,4,3,4,4,4,3,3,3,4,4,3,4,4,2,3,3,4,4,2,1,4,4
