"","id","gen_att","higher_ed","gender","HEF"
"5282","65753018",1,1,"Female","college"
"5283","65749009",1,1,"Female","college"
"5284","65749002",1,1,"Female","college"
"5285","65476034",2,1,"Male","college"
"5676","65753025",1.6,1,"Female","college"
"5677","68232029",1.2,1,"Female","college"
"5678","68233006",1.2,1,"Female","college"
"5679","68233011",1.6,1,"Female","college"
"5680","65493019",1,1,"Male","college"
"5681","65476045",1.6,1,"Female","college"
"5682","65476008",2,1,"Female","college"
"5683","65476007",2,1,"Male","college"
"5741","68233021",2,0,"Female","non-college"
"5742","68233016",2,0,"Female","non-college"
"5743","68233032",1.8,0,"Female","non-college"
"5744","65493042",2.6,0,"Male","non-college"
"5745","65749040",2.2,0,"Female","non-college"
"5746","65476037",1.4,0,"Male","non-college"
"5747","65476043",3.2,0,"Male","non-college"
"5842","66086043",2,0,"Male","non-college"
"5861","65476039",1.4,0,"Female","non-college"
"5892","66086011",2.4,0,"Male","non-college"
"5895","68232013",3,1,"Male","college"
"5898","68232009",2.6,0,"Male","non-college"
