"id","treatment","gender","course_taken","city","education","fathers_ed","mothers_ed","item1","item2","item3","item4","item5","item6","higher_ed","age","total_income","total_house_member","gen_att","income_per_member","wage01","wage","wagepr01","wagepr","incfm01","incfm","fmsup01","fmsp","fsupabr01","fsupabr","farm01","farm","pension01","pension","ueben01","ueben","rent01","rent","benf01","benf","combenf01","combenf","other01","other"
66922027,2,"Male   ","Operator, computer  (CAD softwares)              ","ANKARA    ","Higher education of 2 years",NA,NA,3,2,1,2,2,3,1,25,9000,3,2,3000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",9000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
64244031,1,"Unknown","Cook                                             ","IZMIR     ","High School (Lycee)",NA,NA,4,1,1,2,1,2,0,25,17800,3,1.4,5933.33333333333,"Yes",1500,"Yes",3900,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",8500,"No",NA,"Yes",3900,"No",NA,"No",NA,"No",NA
68097001,2,"Female ","Computerized Accounting Staff                    ","ANKARA    ","High School (Lycee)","Primary School","Primary School",4,1,4,1,1,1,0,32,900,3,1.6,300,"Yes",900,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
68097030,2,"Female ","Computerized Accounting Staff                    ","ANKARA    ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65042048,1,"Male   ","Computerized Accounting Staff                    ","ERZURUM   ","University - Undergraduate degree","Primary School","None",3,2,4,2,2,4,1,34,7000,4,2.8,1750,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",7000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
67407044,1,"Male   ","Designer                                         ","ISTANBUL  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64372001,2,"Male   ","Welder, gas                                      ","SAKARYA   ","Junior High/ Middle School (8 years)",NA,NA,4,1,1,1,1,3,0,21,9100,3,1.4,3033.33333333333,"Yes",1300,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",7800,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
64264016,2,"Male   ","Cook                                             ","ISPARTA   ","University - Undergraduate degree",NA,NA,3,1,1,1,1,1,1,32,10000,3,1,3333.33333333333,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",10000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
65232020,1,"Male   ","Mechanic, maintenance                            ","DUZCE     ","Vocational School",NA,NA,3,2,1,1,1,4,0,29,9000,6,1.8,1500,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"Yes",9000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
64067048,1,"Female ","Computer Manager                                 ","ELAZIG    ","Vocational School","Junior High/ Middle School","None",4,1,1,1,2,4,0,27,9000,3,1.8,3000,"Yes",9000,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA,"No",NA
